Smiles,Value
[O-][N+]([O-])=CC(=NCc1ccccc1)[NH2+]CCC1CCN(Cc2ccccc2)CC1,120.0
C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(O)nc1C2,120.0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,120.0
COc1ccc(NC(S)=NCCN2CCOCC2)cc1Cl,120.0
COc1cc2c(cc1OC)C(=O)C(CCCCCc1cccc(OC)[n+]1C)C2.O=S(=O)([O-])C(F)(F)F,120.0
COc1cccc(CCCCCCCc2cccc(OC)[n+]2C)[n+]1C,120.0
COc1cc(OC)c2c(c1)OC(c1ccccc1O)CC2=O,120.0
COc1cc2c(cc1OC)C(=O)C(C(O)=Nc1ccccc1Br)C2,120.0
c1ccc(CN2CCC(CCN=c3ccc(-c4ccccc4)n[nH]3)CC2)cc1,120.0
N#Cc1c(NCCCCC2CCN(Cc3ccccc3)CC2)[nH]c(=N)c(C#N)c1-c1ccccc1,120.0
COCCn1cnc2cc(N=C(O)c3ccccc3)cc(C(O)=NCc3cc(F)cc(F)c3)c21,120.0
COc1ccc(C(=O)CCC(O)=NCCCN=c2c3c([nH]c4ccccc24)CCCC3)c2ccccc12,120.0
COc1cc2c3c(c1OC)-c1ccccc1C[C@@H]3N(C(=O)c1cc[n+](Cc3ccccc3)cc1)CC2.[Br-],120.0
Cc1c(-c2ccc(O)cc2)c2ccc3cccc1n32,120.0
COc1cccc2cc(C(=O)/C=C/c3cc[n+](Cc4cccc(Cl)c4Cl)cc3)c(=O)oc12,120.0
Cc1cc(=O)oc2cc(OCc3ccc(CN(C)Cc4cccc(Cl)c4)cc3)ccc12.Cl,120.0
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(O)=NCCCCCN=c1c3c([nH]c4cc(Cl)ccc14)CCCC3)O2,120.0
COC(=O)c1cc2c(N)c3c(nc2nc1C)CCC3,120.0
[Br-].[Br-].c1cc[n+](CCCCCCCCC[n+]2cccc3ccccc32)cc1,120.0
CCN(CCCCOc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1OC,120.0
C[N+]12CCc3ccccc3C1c1ccc(OCCCCCCCCCCCCOc3ccc4c(c3)CC[N+]3(C)CCc5ccccc5C43)cc1CC2,120.0
COc1ccc2sc3c([N+](=O)[O-])ccc(NCCC[C@@H]4CCCN5CCCC[C@H]45)c3c(=O)c2c1,120.0
c1ccc(CN2CCC(CN=c3[nH][nH]c4ccccc34)CC2)cc1,120.0
COc1cc2c(cc1OC)C(=O)C(Cc1ccc(CN3CCCCC3)cc1)C2,120.0
O=c1c2ccc(OCCN3CCCC3)cc2oc2cc(OCCN3CCCC3)cc(O)c12,120.0
CCOC(=O)C1C(C)=Nc2nc3c(c(N)c2C1c1ccccc1)CCCC3,120.0
c1ccc(CN2CCC(CCN=c3cc4c(n[nH]3)-c3ccccc3CCC4)CC2)cc1,120.0
O=c1c2cc(Cl)ccc2oc2ccc(OCCCCCN3CCCCCC3)cc12,120.0
CCCc1[nH]nc2c1C(c1ccc(C)cc1)c1c(nc3c(c1N)CCCC3)O2,120.0
Cn1c(=O)cc(-c2ccncc2)[nH]c1=NCCCCCCN=c1c2c([nH]c3ccccc13)CCCC2,120.0
N#CC(C#N)C1=NCCN1CCNCc1ccc(CN2CCCCCC2)o1,120.0
COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)n(C)c2cc1OC,120.0
Cl.Cl.N[C@@H](Cc1c[nH]c2ccccc12)C(O)=NCCCCCCCN=c1c2c([nH]c3ccccc13)CCCC2,120.0
CC(C)OP(=O)(F)OC(C)C,120.0
CCCCCCCCP(=O)(F)OC(C)C,120.0
COc1cc2cc(C(=O)C3CC[N+](C)(Cc4ccccc4)CCC3OC)sc2cc1OC,120.0
COc1cc2cc(C(=O)CC(OC)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,120.0
CN(Cc1ccccc1)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1,120.0
COc1ccc2[nH]c(C(O)=Nc3ccc4nc5n(c(=O)c4c3)CCC5)cc2c1,120.0
CCN(CCCCN=c1c2c([nH]c3ccccc13)CCCC2)CCC(O)=Nc1nc(-c2ccc(Cl)cc2)cs1,120.23
CCN1CCN(Cc2ccc(N=C(O)c3cc4cc(Br)ccc4oc3=O)cc2Cl)CC1,120.4
CC1=C[C@H]2Cc3nc(O)ccc3[C@@]3(C1)[C@@H]2CCCN3C(=O)CN(C)CCCCCCCCCCN(C)Cc1cccc2ccccc12,121.0
CC(C)n1cc(C(=O)C(F)(F)F)cn1,121.0
COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2ccncc2)CC1,121.0
Cc1nc(-c2cccc(Nc3ncnc4ccccc34)c2)cs1,121.0
Cc1cc(O)nc2c1C(=O)C(NCCN=c1c3c([nH]c4cc(Cl)ccc14)CCCC3)=CC2=O,121.0
CCN=C(S)Nc1cc(-n2cnc(CN3CCCCCC3)c2)ncn1,121.0
COc1cc(CCC(O)=NCC(O)=NN=c2c3c([nH]c4ccccc24)CCCC3)cc(OC)c1OC,122.0
CCN1CCN(Cc2ccc(NC(=O)c3cc4ccc(OC)cc4oc3=O)cc2Cl)CC1,122.0
CCCCCCN=C(O)Oc1ccc2c(c1)C1CCN(C)C2C1,122.0
COc1cc(O)c(C(=O)/C=C/c2ccc(N3CCCCC3)cc2)cc1OC,122.0
Oc1ccc2c(n1)CCCC2NCCCCCN=c1c2c([nH]c3ccccc13)CCCC2,122.0
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(CCCCCCOc1ccc(C(=O)N3CCCC3)cc1)C2,122.0
COc1cc(CNCCN2CCN(CC(c3ccccc3)c3ccccc3)CC2)cc(OC)c1OC,122.0
COc1cc2cc(-c3ccc(CN(C)Cc4cccc(C)c4)cc3)c(=O)oc2cc1OC,122.0
CCOc1ccc2c(c1)OCC(=Cc1ccc(OCCN3CCCCC3)cc1)C2=O.Cl,122.0
O=[N+]([O-])c1cc(Cl)ccc1OCC(O)=NCC1CCN(Cc2ccccc2)CC1,122.0
CN=C(O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,123.0
CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=N)c3C(C1)C2,123.0
CCN(CCCCCC=Nc1c(O)c(-c2ccccc2)c(NCCCCCCN(CC)Cc2ccccc2OC)c(O)c1-c1ccccc1)Cc1ccccc1OC,123.0
COc1ccc2c(c1)O/C(=C\c1cc[n+](Cc3cccc(C)c3)cc1)C2=O,123.0
COc1ccc(/C=C2\COc3cc(OCCCCCCN=c4c5c([nH]c6cc(Cl)ccc46)CCCC5)ccc3C2=O)cc1,123.0
COc1ccc2cc3[n+](cc2c1OCCCCOc1ccccc1O)CCc1cc2c(cc1-3)OCO2,123.0
COc1ccccc1CNCCCCCC=Nc1cc(O)c(NCCCCCCNCc2ccccc2OC)cc1O,123.0
O=C1c2ccccc2C(=O)N1CCCN1CCN(Cc2ccccc2)CC1,123.0
COc1ccc2cc3[n+](cc2c1OCCCOc1ccccc1)CCc1cc2c(cc1-3)OCO2,123.0
C#CCCCCCCCCCN(C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,123.0
c1ccc2c(=NCCCCCCCCCN=c3cc[nH]c4ccccc34)cc[nH]c2c1,124.0
CC1=C[C@H]2Cc3nc(O)ccc3[C@@]3(C1)[C@@H]2CCCN3C(=O)CN(C)CCCCCCN(C)Cc1cccc2ccccc12,124.0
CCCCN1CCC(CCC(=O)c2ccc(N3CCN(CCCCc4c[nH]c5ccc(C#N)cc45)CC3)cc2)CC1,124.0
CCc1ccccc1N=C(O)Oc1ccc2c(c1)[C@]1(C)CC[N@@+](C)(O)[C@@H]1N2C,125.0
Oc1ccc(-c2nnc(-c3ccc(-c4ccc(Br)cc4)s3)s2)c(O)c1,125.0
CCCCCCN=C(O)Oc1ccc2c(c1)C1CCN(CC)C2C1,125.0
O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)CCCCN2,125.0
CNC(CCOc1ccc([N+](=O)[O-])cc1)c1ccc(OC(=O)N(C)C)cc1.Cl,125.0
CN(CCCOc1ccc2cc(-c3ccccc3)c(=O)oc2c1)Cc1cccc(OC(O)=NCCCCCc2ccccc2)c1,125.0
CN(C)c1ccc(C(=O)NCCCCCCCCCN=c2c3c([nH]c4ccccc24)CCCC3)cc1.Cl,125.0
Cc1cccc2[nH]c3c(c(=N)c12)CCCC3,125.0
CCc1ccccc1N=C(O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)([O-])[C@@H]1N2C,125.0
CCn1ncc2c(NC3CCCCC3)c(C(O)=NCCCCCCN=c3c4c([nH]c5cc(Cl)ccc35)CCCC4)cnc21,125.0
CCN(CCCCCC=Nc1cc(O)c(NCCCCCCN(CC)Cc2ccccn2)cc1O)Cc1ccccn1,125.0
CCCCCCCN=C(O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,125.0
c1ccc2c3ccn(CCCCCCCCCn4ccc5c6ccccc6[nH+]c-5c4)cc-3[nH+]c2c1,125.0
Oc1ccccc1CNCCCCN=c1c2c([nH]c3cc(Cl)ccc13)CCCC2,125.0
